00:20:01 7,51 0,00 2,45 0,35 0,00 89,68
00:30:01 8,39 0,00 3,39 5,04 0,00 83,18
00:40:01 11,02 0,00 3,81 0,45 0,00 84,73
00:50:01 17,59 0,00 3,45 0,41 0,00 78,54
01:00:02 4,87 0,00 1,19 0,83 0,00 93,12
01:10:01 8,58 0,00 2,55 0,83 0,00 88,04
01:20:01 18,13 0,00 4,86 0,63 0,00 76,39
01:30:01 15,06 0,00 4,92 0,71 0,00 79,31
01:40:01 9,15 0,00 3,74 0,65 0,00 86,46
01:50:01 13,23 0,00 4,52 0,62 0,00 81,64
02:00:01 27,74 0,00 6,59 0,55 0,00 65,12
02:10:02 28,09 0,00 6,01 0,56 0,00 65,34
02:20:02 17,35 0,00 5,27 0,74 0,00 76,64
02:30:01 15,95 0,00 5,47 1,02 0,00 77,57
02:40:01 15,25 0,00 5,39 0,80 0,00 78,56
02:50:01 16,06 0,00 6,50 1,17 0,00 76,27
03:00:02 17,86 0,00 6,10 0,75 0,00 75,30
03:10:01 9,38 0,00 4,13 0,72 0,00 85,77
03:11:00 0,00 0,00 0,00 0,00 0,00 100,00
09:39:00 0,00 0,00 0,00 0,00 0,00 100,00
09:40:02 9,37 0,18 5,48 6,15 0,00 78,82
09:50:01 11,57 0,00 4,76 1,03 0,00 82,64
10:00:01 5,82 5,75 9,36 7,11 0,00 71,96
10:10:01 14,70 1,88 14,09 0,69 0,00 68,65
10:20:01 10,55 0,00 5,20 0,79 0,00 83,45
10:21:00 0,00 0,00 0,00 0,00 0,00 100,00
11:19:00 0,00 0,00 0,00 0,00 0,00 100,00
11:20:01 9,67 0,00 3,51 2,20 0,00 84,61
11:30:01 11,08 0,00 3,39 5,33 0,00 80,21
11:40:01 4,68 0,00 2,48 0,91 0,00 91,93
11:50:01 7,15 0,00 2,76 2,52 0,00 87,58
12:00:01 7,34 0,00 3,49 0,86 0,00 88,31
12:10:01 5,86 0,00 2,69 0,48 0,00 90,96
12:20:01 3,50 0,00 2,06 0,31 0,00 94,13
12:30:01 3,49 0,00 2,03 0,29 0,00 94,20
12:40:01 3,88 0,00 2,36 0,38 0,00 93,39
12:50:01 3,49 0,00 2,09 0,34 0,00 94,07
13:00:01 3,61 0,00 2,12 0,50 0,00 93,77
13:10:01 4,38 0,00 2,64 0,52 0,00 92,46
13:20:01 9,67 0,00 3,09 0,64 0,00 86,60
13:30:01 12,49 0,00 3,19 0,46 0,00 83,86
13:40:01 4,88 0,00 2,11 0,34 0,00 92,67
13:50:01 3,93 0,00 2,06 0,34 0,00 93,68
14:00:01 4,32 0,00 2,38 0,36 0,00 92,94
14:10:01 6,78 0,00 2,70 0,62 0,00 89,90
14:20:01 10,00 0,00 3,23 0,73 0,00 86,04
14:30:01 7,17 0,00 2,64 0,52 0,00 89,67
14:40:01 5,64 0,00 2,00 0,44 0,00 91,92
14:50:01 2,96 0,00 1,21 0,37 0,00 95,46
15:00:01 3,16 0,00 1,35 0,48 0,00 95,01
15:10:01 2,98 0,00 1,22 0,43 0,00 95,37
15:20:01 2,97 0,00 1,20 0,48 0,00 95,35
15:30:01 3,15 0,00 1,36 0,46 0,00 95,03
15:40:02 6,09 0,77 2,42 0,37 0,00 90,34
15:50:01 13,13 2,57 5,22 0,35 0,00 78,73
16:00:01 13,40 2,59 5,35 0,30 0,00 78,36
16:10:01 9,99 0,96 3,70 0,54 0,00 84,81
16:20:02 6,39 0,00 2,03 0,26 0,00 91,32
16:30:01 10,67 0,00 3,34 0,43 0,00 85,56
16:40:01 4,46 0,00 1,87 0,48 0,00 93,19
16:50:01 3,53 0,00 1,47 0,45 0,00 94,55
17:00:01 3,51 0,00 1,47 0,46 0,00 94,55
17:10:02 3,54 0,00 1,42 0,47 0,00 94,57
17:20:01 3,15 0,00 1,34 0,44 0,00 95,08
17:30:01 4,92 0,00 2,35 0,53 0,00 92,20
17:40:01 4,31 0,00 2,53 0,92 0,00 92,25
17:50:01 0,00 0,00 0,00 0,00 0,00 0,00
18:00:01 4,98 0,00 1,33 1,00 0,00 92,69
18:10:01 1,85 0,00 0,28 0,67 0,00 97,20
18:20:01 5,39 0,00 1,35 0,57 0,00 92,68
18:30:01 5,58 0,00 1,56 0,45 0,00 92,42
18:40:01 2,86 0,00 0,59 0,41 0,00 96,14
18:50:01 1,81 0,00 0,25 0,40 0,00 97,54
19:00:01 5,21 0,00 1,38 0,59 0,00 92,81
19:01:00 0,00 0,00 0,00 0,00 0,00 100,00
19:29:00 0,00 0,00 0,00 0,00 0,00 100,00
19:30:01 7,07 0,00 2,50 2,55 0,00 87,88
19:40:01 8,37 0,00 2,61 0,50 0,00 88,51
19:50:01 8,10 0,00 2,13 0,55 0,00 89,21
20:00:01 12,34 0,00 3,20 0,95 0,00 83,50
20:01:00 0,00 0,00 0,00 0,00 0,00 100,00
20:49:00 0,00 0,00 0,00 0,00 0,00 100,00
20:50:01 13,41 0,00 3,45 1,34 0,00 81,81
21:00:01 19,03 0,00 4,34 0,50 0,00 76,13
21:10:01 6,80 0,00 2,17 0,46 0,00 90,57
21:20:01 13,54 0,00 3,40 0,86 0,00 82,20
21:30:02 14,42 0,00 3,99 0,43 0,00 81,16
21:40:01 10,69 0,00 3,14 0,46 0,00 85,70
21:50:01 4,68 0,00 1,70 0,38 0,00 93,24
22:00:02 5,99 0,00 2,00 0,48 0,00 91,53
22:10:01 7,97 0,00 2,58 0,41 0,00 89,03
22:20:01 9,43 0,00 2,75 0,37 0,00 87,45
22:30:01 10,85 0,00 3,08 0,33 0,00 85,74
22:40:01 12,30 0,00 3,75 0,45 0,00 83,50
22:50:01 2,94 0,00 1,17 0,47 0,00 95,42
23:00:01 2,88 0,00 1,04 0,41 0,00 95,66
23:10:01 10,00 0,00 3,19 0,51 0,00 86,30
23:20:01 15,19 0,00 3,93 0,41 0,00 80,48
23:30:01 13,07 0,00 3,81 0,39 0,00 82,72
23:40:01 10,42 0,00 2,80 0,60 0,00 86,18
23:50:02 7,59 0,00 2,61 0,68 0,00 89,12
